DateTime,Emotion
Sat Oct 13 04:57:51 2018,normal
Sat Oct 13 04:59:50 2018,neutral
Sat Oct 13 05:00:09 2018,neutral
Sat Oct 13 05:35:24 2018,anger
Sat Oct 13 05:36:37 2018,fear
Sat Oct 13 08:23:10 2018,neutral
Sat Oct 13 08:23:35 2018,neutral
Sat Oct 13 08:23:53 2018,anger
Sat Oct 13 08:24:07 2018,anger
Sat Oct 13 08:24:25 2018,normal
Sat Oct 13 08:24:46 2018,neutral
Sat Oct 13 08:24:58 2018,neutral
Sat Oct 13 08:25:06 2018,neutral
Sat Oct 13 08:27:44 2018,neutral
Sat Oct 13 08:27:58 2018,neutral
Sat Oct 13 08:37:26 2018,normal
Sat Oct 13 09:10:32 2018,anger
Sat Oct 13 13:30:07 2018,anger
Sat Oct 13 13:30:30 2018,happy
